"Step","cart-pole-average-reward-baseline-2025-03-10-15-36-09 - train/avg_train_entropy","cart-pole-average-reward-baseline-2025-03-10-15-36-09 - train/avg_train_entropy__MIN","cart-pole-average-reward-baseline-2025-03-10-15-36-09 - train/avg_train_entropy__MAX","cart-pole-average-reward-baseline-2025-03-10-13-56-33 - train/avg_train_entropy","cart-pole-average-reward-baseline-2025-03-10-13-56-33 - train/avg_train_entropy__MIN","cart-pole-average-reward-baseline-2025-03-10-13-56-33 - train/avg_train_entropy__MAX","cart-pole-average-reward-baseline-2025-03-10-13-05-59 - train/avg_train_entropy","cart-pole-average-reward-baseline-2025-03-10-13-05-59 - train/avg_train_entropy__MIN","cart-pole-average-reward-baseline-2025-03-10-13-05-59 - train/avg_train_entropy__MAX","cart-pole-average-reward-baseline-2025-03-10-11-56-17 - train/avg_train_entropy","cart-pole-average-reward-baseline-2025-03-10-11-56-17 - train/avg_train_entropy__MIN","cart-pole-average-reward-baseline-2025-03-10-11-56-17 - train/avg_train_entropy__MAX","cart-pole-average-reward-baseline-2025-03-10-10-16-06 - train/avg_train_entropy","cart-pole-average-reward-baseline-2025-03-10-10-16-06 - train/avg_train_entropy__MIN","cart-pole-average-reward-baseline-2025-03-10-10-16-06 - train/avg_train_entropy__MAX"
"0","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6910214722156525","0.6910214722156525","0.6910214722156525","0.6868979703812372","0.6868979703812372","0.6868979703812372","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159"
"1","0.6761838187251175","0.6761838187251175","0.6761838187251175","0.6908489519899542","0.6908489519899542","0.6908489519899542","0.6814009116755592","0.6814009116755592","0.6814009116755592","0.6761838187251175","0.6761838187251175","0.6761838187251175","0.6761838187251175","0.6761838187251175","0.6761838187251175"
"2","0.6719469290513259","0.6719469290513259","0.6719469290513259","0.6914702724008","0.6914702724008","0.6914702724008","0.6911543568839198","0.6911543568839198","0.6911543568839198","0.6719469290513259","0.6719469290513259","0.6719469290513259","0.6719469290513259","0.6719469290513259","0.6719469290513259"
"3","0.6752772107720375","0.6752772107720375","0.6752772107720375","0.6871121038090099","0.6871121038090099","0.6871121038090099","0.6902126563919915","0.6902126563919915","0.6902126563919915","0.6752772107720375","0.6752772107720375","0.6752772107720375","0.6752772107720375","0.6752772107720375","0.6752772107720375"
"4","0.6762806647702267","0.6762806647702267","0.6762806647702267","0.6909305012744406","0.6909305012744406","0.6909305012744406","0.6872475504875183","0.6872475504875183","0.6872475504875183","0.6762806647702267","0.6762806647702267","0.6762806647702267","0.6762806647702267","0.6762806647702267","0.6762806647702267"
"5","0.6367217861115932","0.6367217861115932","0.6367217861115932","0.6885513961315155","0.6885513961315155","0.6885513961315155","0.6586400831446928","0.6586400831446928","0.6586400831446928","0.6367217861115932","0.6367217861115932","0.6367217861115932","0.6367217861115932","0.6367217861115932","0.6367217861115932"
"6","0.6708913875950707","0.6708913875950707","0.6708913875950707","0.6809389770030976","0.6809389770030976","0.6809389770030976","0.6638318739439312","0.6638318739439312","0.6638318739439312","0.6708913875950707","0.6708913875950707","0.6708913875950707","0.6708913875950707","0.6708913875950707","0.6708913875950707"
"7","0.6755139410495759","0.6755139410495759","0.6755139410495759","0.6628640095392863","0.6628640095392863","0.6628640095392863","0.6587949832280476","0.6587949832280476","0.6587949832280476","0.6755139410495759","0.6755139410495759","0.6755139410495759","0.6755139410495759","0.6755139410495759","0.6755139410495759"
"8","0.5810684775933623","0.5810684775933623","0.5810684775933623","0.6898378564251794","0.6898378564251794","0.6898378564251794","0.6315782561021692","0.6315782561021692","0.6315782561021692","0.5810684775933623","0.5810684775933623","0.5810684775933623","0.5810684775933623","0.5810684775933623","0.5810684775933623"
"9","0.6788932217491997","0.6788932217491997","0.6788932217491997","0.6528780102729798","0.6528780102729798","0.6528780102729798","0.663369489752728","0.663369489752728","0.663369489752728","0.6788932217491997","0.6788932217491997","0.6788932217491997","0.6788932217491997","0.6788932217491997","0.6788932217491997"
"10","0.6858037343392005","0.6858037343392005","0.6858037343392005","0.6857791816194853","0.6857791816194853","0.6857791816194853","0.6578899153641292","0.6578899153641292","0.6578899153641292","0.6858037343392005","0.6858037343392005","0.6858037343392005","0.6858037343392005","0.6858037343392005","0.6858037343392005"
