"Step","val/min_episode_reward","behavioral-cloning-2025-03-13-11-03-33 - val/min_episode_reward__MIN","behavioral-cloning-2025-03-13-11-03-33 - val/min_episode_reward__MAX","val/source/min_episode_reward","behavioral-cloning-2025-03-13-11-03-33 - val/source/min_episode_reward__MIN","behavioral-cloning-2025-03-13-11-03-33 - val/source/min_episode_reward__MAX"
"0","7","7","7","8","8","8"
"10","39","39","39","37","37","37"
"20","117","117","117","121","121","121"
"30","387","387","387","424","424","424"
"40","340","340","340","590","590","590"
"50","700","700","700","700","700","700"
"60","700","700","700","700","700","700"
"70","700","700","700","700","700","700"
"80","700","700","700","700","700","700"
"90","239","239","239","700","700","700"
