"Step","val/min_episode_reward","val/min_episode_reward__MIN","val/min_episode_reward__MAX","val/source/min_episode_reward","val/source/min_episode_reward__MIN","val/source/min_episode_reward__MAX"
"0","8","8","8","8","8","8"
"10","30","30","30","34","34","34"
"20","167","167","167","153","153","153"
"30","203","203","203","194","194","194"
"40","183","183","183","193","193","193"
"50","180","180","180","168","168","168"
"60","154","154","154","189","189","189"
"70","189","189","189","165","165","165"
"80","186","186","186","179","179","179"
"90","207","207","207","191","191","191"
