"Step","cart-pole-value_function-reward-baseline-2025-03-11-18-35-47 - train/avg_train_entropy","cart-pole-value_function-reward-baseline-2025-03-11-18-35-47 - train/avg_train_entropy__MIN","cart-pole-value_function-reward-baseline-2025-03-11-18-35-47 - train/avg_train_entropy__MAX","cart-pole-value_function-reward-baseline-2025-03-10-15-38-32 - train/avg_train_entropy","cart-pole-value_function-reward-baseline-2025-03-10-15-38-32 - train/avg_train_entropy__MIN","cart-pole-value_function-reward-baseline-2025-03-10-15-38-32 - train/avg_train_entropy__MAX","cart-pole-value_function-reward-baseline-2025-03-10-14-03-52 - train/avg_train_entropy","cart-pole-value_function-reward-baseline-2025-03-10-14-03-52 - train/avg_train_entropy__MIN","cart-pole-value_function-reward-baseline-2025-03-10-14-03-52 - train/avg_train_entropy__MAX","cart-pole-value_function-reward-baseline-2025-03-10-11-55-39 - train/avg_train_entropy","cart-pole-value_function-reward-baseline-2025-03-10-11-55-39 - train/avg_train_entropy__MIN","cart-pole-value_function-reward-baseline-2025-03-10-11-55-39 - train/avg_train_entropy__MAX","cart-pole-value_function-reward-baseline-2025-03-10-09-02-33 - train/avg_train_entropy","cart-pole-value_function-reward-baseline-2025-03-10-09-02-33 - train/avg_train_entropy__MIN","cart-pole-value_function-reward-baseline-2025-03-10-09-02-33 - train/avg_train_entropy__MAX"
"0","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159","0.6796223240740159"
"1","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016","0.6645163053816016"
"2","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032","0.6786116792096032"
"3","0.6665509144465128","0.6665509144465128","0.6665509144465128","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054","0.6665509045124054"
"4","0.6642407655715943","0.6642407655715943","0.6642407655715943","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642","0.6642407202720642"
"5","0.6476642909375104","0.6476642909375104","0.6476642909375104","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274","0.647664109414274"
"6","0.687362265586853","0.687362265586853","0.687362265586853","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232","0.6873622258504232"
"7","0.6640409488569606","0.6640409488569606","0.6640409488569606","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384","0.6640408526767384"
"8","0.6746353566646576","0.6746353566646576","0.6746353566646576","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122","0.674635362625122"
"9","0.6791465657728689","0.6791465657728689","0.6791465657728689","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876","0.6791466496608876"
"10","0.6775101989507675","0.6775101989507675","0.6775101989507675","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598","0.677510479092598"
"11","0.662266519665718","0.662266519665718","0.662266519665718","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304","0.6622661001980304"
"12","0.6587275681288346","0.6587275681288346","0.6587275681288346","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286","0.6587264952452286"
"13","0.5603694021701813","0.5603694021701813","0.5603694021701813","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208","0.5603660602461208"
"14","0.6614179876115587","0.6614179876115587","0.6614179876115587","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726","0.6614147226015726"
"15","0.656609833240509","0.656609833240509","0.656609833240509","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688","0.6566051585333688"
"16","0.6606809057687458","0.6606809057687458","0.6606809057687458","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742","0.6606760181878742"
"17","0.6407158415425908","0.6407158415425908","0.6407158415425908","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183","0.6407113522291183"
"18","0.6480797011601297","0.6480797011601297","0.6480797011601297","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716","0.6480771750211716"
"19","0.6150308356930813","0.6150308356930813","0.6150308356930813","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238","0.6150245858977238"
"20","0.6331515339287844","0.6331515339287844","0.6331515339287844","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238","0.633145348592238"
"21","0.6370114459507707","0.6370114459507707","0.6370114459507707","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679","0.637005987374679"
"22","0.6033579574099609","0.6033579574099609","0.6033579574099609","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222","0.6033526000877222"
"23","0.5532989674492886","0.5532989674492886","0.5532989674492886","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217","0.5532795935869217"
"24","0.6209748065607115","0.6209748065607115","0.6209748065607115","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079","0.6209628378803079"
"25","0.5981434727156604","0.5981434727156604","0.5981434727156604","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254","0.5981285759696254"
"26","0.5844781624859777","0.5844781624859777","0.5844781624859777","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778","0.5844542928810778"
"27","0.5888228417963398","0.5888228417963398","0.5888228417963398","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743","0.5888069039400743"
"28","0.5342257601022721","0.5342257601022721","0.5342257601022721","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655","0.5342111295461655"
"29","0.5829678101417346","0.5829678101417346","0.5829678101417346","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812","0.5829484598376812"
"30","0.5634200979999248","0.5634200979999248","0.5634200979999248","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086","0.5634034295010086"
"31","0.6031785488128663","0.6031785488128663","0.6031785488128663","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643","0.6031670009388643"
"32","0.5957112393348757","0.5957112393348757","0.5957112393348757","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981","0.5956993429873981"
"33","0.5582358314187874","0.5582358314187874","0.5582358314187874","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886","0.5582211426865886"
"34","0.47567018915129744","0.47567018915129744","0.47567018915129744","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146","0.4756256163768146"
"35","0.5612239481082985","0.5612239481082985","0.5612239481082985","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591","0.5612002600516591"
"36","0.49484071666021134","0.49484071666021134","0.49484071666021134","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048","0.4948118922501048"
"37","0.5418898131946722","0.5418898131946722","0.5418898131946722","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774","0.5418612572550774"
